tahun_data;kod_wil;kab_kota;indikator;indeks
2024;3301;Kabupaten Cilacap;Usia Harapan Hidup saat Lahir (tahun);74,57
2024;3301;Kabupaten Cilacap;Harapan Lama Sekolah (tahun);12,69
2024;3301;Kabupaten Cilacap;Rata-rata Lama Sekolah (tahun);7,4
2024;3301;Kabupaten Cilacap;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11868
2024;3301;Kabupaten Cilacap;Indeks Pembangunan Manusia;72,38
2024;3302;Kabupaten Banyumas;Usia Harapan Hidup saat Lahir (tahun);74,34
2024;3302;Kabupaten Banyumas;Harapan Lama Sekolah (tahun);13,34
2024;3302;Kabupaten Banyumas;Rata-rata Lama Sekolah (tahun);7,91
2024;3302;Kabupaten Banyumas;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);12960
2024;3302;Kabupaten Banyumas;Indeks Pembangunan Manusia;74,52
2024;3303;Kabupaten Purbalingga;Usia Harapan Hidup saat Lahir (tahun);73,56
2024;3303;Kabupaten Purbalingga;Harapan Lama Sekolah (tahun);12,03
2024;3303;Kabupaten Purbalingga;Rata-rata Lama Sekolah (tahun);7,36
2024;3303;Kabupaten Purbalingga;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11343
2024;3303;Kabupaten Purbalingga;Indeks Pembangunan Manusia;70,69
2024;3304;Kabupaten Banjarnegara;Usia Harapan Hidup saat Lahir (tahun);74,66
2024;3304;Kabupaten Banjarnegara;Harapan Lama Sekolah (tahun);11,83
2024;3304;Kabupaten Banjarnegara;Rata-rata Lama Sekolah (tahun);6,87
2024;3304;Kabupaten Banjarnegara;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10595
2024;3304;Kabupaten Banjarnegara;Indeks Pembangunan Manusia;69,6
2024;3305;Kabupaten Kebumen;Usia Harapan Hidup saat Lahir (tahun);73,96
2024;3305;Kabupaten Kebumen;Harapan Lama Sekolah (tahun);13,39
2024;3305;Kabupaten Kebumen;Rata-rata Lama Sekolah (tahun);7,87
2024;3305;Kabupaten Kebumen;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10176
2024;3305;Kabupaten Kebumen;Indeks Pembangunan Manusia;71,93
2024;3306;Kabupaten Purworejo;Usia Harapan Hidup saat Lahir (tahun);75,51
2024;3306;Kabupaten Purworejo;Harapan Lama Sekolah (tahun);13,55
2024;3306;Kabupaten Purworejo;Rata-rata Lama Sekolah (tahun);8,65
2024;3306;Kabupaten Purworejo;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11584
2024;3306;Kabupaten Purworejo;Indeks Pembangunan Manusia;75,11
2024;3307;Kabupaten Wonosobo;Usia Harapan Hidup saat Lahir (tahun);72,4
2024;3307;Kabupaten Wonosobo;Harapan Lama Sekolah (tahun);11,81
2024;3307;Kabupaten Wonosobo;Rata-rata Lama Sekolah (tahun);6,9
2024;3307;Kabupaten Wonosobo;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11980
2024;3307;Kabupaten Wonosobo;Indeks Pembangunan Manusia;69,82
2024;3308;Kabupaten Magelang;Usia Harapan Hidup saat Lahir (tahun);74,45
2024;3308;Kabupaten Magelang;Harapan Lama Sekolah (tahun);12,62
2024;3308;Kabupaten Magelang;Rata-rata Lama Sekolah (tahun);7,83
2024;3308;Kabupaten Magelang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10926
2024;3308;Kabupaten Magelang;Indeks Pembangunan Manusia;71,99
2024;3309;Kabupaten Boyolali;Usia Harapan Hidup saat Lahir (tahun);76,44
2024;3309;Kabupaten Boyolali;Harapan Lama Sekolah (tahun);12,67
2024;3309;Kabupaten Boyolali;Rata-rata Lama Sekolah (tahun);8,17
2024;3309;Kabupaten Boyolali;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);14195
2024;3309;Kabupaten Boyolali;Indeks Pembangunan Manusia;75,96
2024;3310;Kabupaten Klaten;Usia Harapan Hidup saat Lahir (tahun);77,3
2024;3310;Kabupaten Klaten;Harapan Lama Sekolah (tahun);13,43
2024;3310;Kabupaten Klaten;Rata-rata Lama Sekolah (tahun);9,29
2024;3310;Kabupaten Klaten;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);13513
2024;3310;Kabupaten Klaten;Indeks Pembangunan Manusia;78,16
2024;3311;Kabupaten Sukoharjo;Usia Harapan Hidup saat Lahir (tahun);78,01
2024;3311;Kabupaten Sukoharjo;Harapan Lama Sekolah (tahun);13,92
2024;3311;Kabupaten Sukoharjo;Rata-rata Lama Sekolah (tahun);10,01
2024;3311;Kabupaten Sukoharjo;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);12758
2024;3311;Kabupaten Sukoharjo;Indeks Pembangunan Manusia;79,3
2024;3312;Kabupaten Wonogiri;Usia Harapan Hidup saat Lahir (tahun);76,84
2024;3312;Kabupaten Wonogiri;Harapan Lama Sekolah (tahun);12,61
2024;3312;Kabupaten Wonogiri;Rata-rata Lama Sekolah (tahun);7,68
2024;3312;Kabupaten Wonogiri;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10634
2024;3312;Kabupaten Wonogiri;Indeks Pembangunan Manusia;72,55
2024;3313;Kabupaten Karanganyar;Usia Harapan Hidup saat Lahir (tahun);77,91
2024;3313;Kabupaten Karanganyar;Harapan Lama Sekolah (tahun);13,73
2024;3313;Kabupaten Karanganyar;Rata-rata Lama Sekolah (tahun);9,26
2024;3313;Kabupaten Karanganyar;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);12732
2024;3313;Kabupaten Karanganyar;Indeks Pembangunan Manusia;78,11
2024;3314;Kabupaten Sragen;Usia Harapan Hidup saat Lahir (tahun);76,18
2024;3314;Kabupaten Sragen;Harapan Lama Sekolah (tahun);12,93
2024;3314;Kabupaten Sragen;Rata-rata Lama Sekolah (tahun);7,88
2024;3314;Kabupaten Sragen;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);13890
2024;3314;Kabupaten Sragen;Indeks Pembangunan Manusia;75,53
2024;3315;Kabupaten Grobogan;Usia Harapan Hidup saat Lahir (tahun);75,24
2024;3315;Kabupaten Grobogan;Harapan Lama Sekolah (tahun);12,48
2024;3315;Kabupaten Grobogan;Rata-rata Lama Sekolah (tahun);7,29
2024;3315;Kabupaten Grobogan;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11548
2024;3315;Kabupaten Grobogan;Indeks Pembangunan Manusia;72,02
2024;3316;Kabupaten Blora;Usia Harapan Hidup saat Lahir (tahun);74,84
2024;3316;Kabupaten Blora;Harapan Lama Sekolah (tahun);12,6
2024;3316;Kabupaten Blora;Rata-rata Lama Sekolah (tahun);7,26
2024;3316;Kabupaten Blora;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10926
2024;3316;Kabupaten Blora;Indeks Pembangunan Manusia;71,39
2024;3317;Kabupaten Rembang;Usia Harapan Hidup saat Lahir (tahun);74,97
2024;3317;Kabupaten Rembang;Harapan Lama Sekolah (tahun);12,3
2024;3317;Kabupaten Rembang;Rata-rata Lama Sekolah (tahun);7,73
2024;3317;Kabupaten Rembang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11830
2024;3317;Kabupaten Rembang;Indeks Pembangunan Manusia;72,53
2024;3318;Kabupaten Pati;Usia Harapan Hidup saat Lahir (tahun);76,56
2024;3318;Kabupaten Pati;Harapan Lama Sekolah (tahun);12,98
2024;3318;Kabupaten Pati;Rata-rata Lama Sekolah (tahun);7,82
2024;3318;Kabupaten Pati;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11829
2024;3318;Kabupaten Pati;Indeks Pembangunan Manusia;74,1
2024;3319;Kabupaten Kudus;Usia Harapan Hidup saat Lahir (tahun);77,08
2024;3319;Kabupaten Kudus;Harapan Lama Sekolah (tahun);13,28
2024;3319;Kabupaten Kudus;Rata-rata Lama Sekolah (tahun);9,35
2024;3319;Kabupaten Kudus;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);12533
2024;3319;Kabupaten Kudus;Indeks Pembangunan Manusia;77,22
2024;3320;Kabupaten Jepara;Usia Harapan Hidup saat Lahir (tahun);76,21
2024;3320;Kabupaten Jepara;Harapan Lama Sekolah (tahun);12,86
2024;3320;Kabupaten Jepara;Rata-rata Lama Sekolah (tahun);8,27
2024;3320;Kabupaten Jepara;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11729
2024;3320;Kabupaten Jepara;Indeks Pembangunan Manusia;74,32
2024;3321;Kabupaten Demak;Usia Harapan Hidup saat Lahir (tahun);75,79
2024;3321;Kabupaten Demak;Harapan Lama Sekolah (tahun);13,36
2024;3321;Kabupaten Demak;Rata-rata Lama Sekolah (tahun);8,28
2024;3321;Kabupaten Demak;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11591
2024;3321;Kabupaten Demak;Indeks Pembangunan Manusia;74,57
2024;3322;Kabupaten Semarang;Usia Harapan Hidup saat Lahir (tahun);76,14
2024;3322;Kabupaten Semarang;Harapan Lama Sekolah (tahun);13,06
2024;3322;Kabupaten Semarang;Rata-rata Lama Sekolah (tahun);8,16
2024;3322;Kabupaten Semarang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);13377
2024;3322;Kabupaten Semarang;Indeks Pembangunan Manusia;75,67
2024;3323;Kabupaten Temanggung;Usia Harapan Hidup saat Lahir (tahun);75,95
2024;3323;Kabupaten Temanggung;Harapan Lama Sekolah (tahun);12,62
2024;3323;Kabupaten Temanggung;Rata-rata Lama Sekolah (tahun);7,53
2024;3323;Kabupaten Temanggung;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10519
2024;3323;Kabupaten Temanggung;Indeks Pembangunan Manusia;71,87
2024;3324;Kabupaten Kendal;Usia Harapan Hidup saat Lahir (tahun);74,73
2024;3324;Kabupaten Kendal;Harapan Lama Sekolah (tahun);13
2024;3324;Kabupaten Kendal;Rata-rata Lama Sekolah (tahun);7,74
2024;3324;Kabupaten Kendal;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);13277
2024;3324;Kabupaten Kendal;Indeks Pembangunan Manusia;74,34
2024;3325;Kabupaten Batang;Usia Harapan Hidup saat Lahir (tahun);75,03
2024;3325;Kabupaten Batang;Harapan Lama Sekolah (tahun);12,17
2024;3325;Kabupaten Batang;Rata-rata Lama Sekolah (tahun);7,08
2024;3325;Kabupaten Batang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10919
2024;3325;Kabupaten Batang;Indeks Pembangunan Manusia;70,74
2024;3326;Kabupaten Pekalongan;Usia Harapan Hidup saat Lahir (tahun);74
2024;3326;Kabupaten Pekalongan;Harapan Lama Sekolah (tahun);12,46
2024;3326;Kabupaten Pekalongan;Rata-rata Lama Sekolah (tahun);7,48
2024;3326;Kabupaten Pekalongan;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11701
2024;3326;Kabupaten Pekalongan;Indeks Pembangunan Manusia;71,84
2024;3327;Kabupaten Pemalang;Usia Harapan Hidup saat Lahir (tahun);73,99
2024;3327;Kabupaten Pemalang;Harapan Lama Sekolah (tahun);12,02
2024;3327;Kabupaten Pemalang;Rata-rata Lama Sekolah (tahun);6,56
2024;3327;Kabupaten Pemalang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10017
2024;3327;Kabupaten Pemalang;Indeks Pembangunan Manusia;68,55
2024;3328;Kabupaten Tegal;Usia Harapan Hidup saat Lahir (tahun);72,16
2024;3328;Kabupaten Tegal;Harapan Lama Sekolah (tahun);12,96
2024;3328;Kabupaten Tegal;Rata-rata Lama Sekolah (tahun);7,36
2024;3328;Kabupaten Tegal;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);10972
2024;3328;Kabupaten Tegal;Indeks Pembangunan Manusia;70,77
2024;3329;Kabupaten Brebes;Usia Harapan Hidup saat Lahir (tahun);70,29
2024;3329;Kabupaten Brebes;Harapan Lama Sekolah (tahun);12,45
2024;3329;Kabupaten Brebes;Rata-rata Lama Sekolah (tahun);6,41
2024;3329;Kabupaten Brebes;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);11389
2024;3329;Kabupaten Brebes;Indeks Pembangunan Manusia;68,46
2024;3371;Kota Magelang;Usia Harapan Hidup saat Lahir (tahun);77,53
2024;3371;Kota Magelang;Harapan Lama Sekolah (tahun);14,62
2024;3371;Kota Magelang;Rata-rata Lama Sekolah (tahun);11,43
2024;3371;Kota Magelang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);13619
2024;3371;Kota Magelang;Indeks Pembangunan Manusia;82,15
2024;3372;Kota Surakarta;Usia Harapan Hidup saat Lahir (tahun);77,9
2024;3372;Kota Surakarta;Harapan Lama Sekolah (tahun);15,07
2024;3372;Kota Surakarta;Rata-rata Lama Sekolah (tahun);11,25
2024;3372;Kota Surakarta;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);16291
2024;3372;Kota Surakarta;Indeks Pembangunan Manusia;84,4
2024;3373;Kota Salatiga;Usia Harapan Hidup saat Lahir (tahun);78,26
2024;3373;Kota Salatiga;Harapan Lama Sekolah (tahun);15,46
2024;3373;Kota Salatiga;Rata-rata Lama Sekolah (tahun);11,48
2024;3373;Kota Salatiga;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);17096
2024;3373;Kota Salatiga;Indeks Pembangunan Manusia;85,72
2024;3374;Kota Semarang;Usia Harapan Hidup saat Lahir (tahun);78,24
2024;3374;Kota Semarang;Harapan Lama Sekolah (tahun);15,57
2024;3374;Kota Semarang;Rata-rata Lama Sekolah (tahun);11,05
2024;3374;Kota Semarang;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);16990
2024;3374;Kota Semarang;Indeks Pembangunan Manusia;85,25
2024;3375;Kota Pekalongan;Usia Harapan Hidup saat Lahir (tahun);74,8
2024;3375;Kota Pekalongan;Harapan Lama Sekolah (tahun);12,89
2024;3375;Kota Pekalongan;Rata-rata Lama Sekolah (tahun);9,34
2024;3375;Kota Pekalongan;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);14547
2024;3375;Kota Pekalongan;Indeks Pembangunan Manusia;77,22
2024;3376;Kota Tegal;Usia Harapan Hidup saat Lahir (tahun);74,87
2024;3376;Kota Tegal;Harapan Lama Sekolah (tahun);13,25
2024;3376;Kota Tegal;Rata-rata Lama Sekolah (tahun);9,28
2024;3376;Kota Tegal;Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun);14358
2024;3376;Kota Tegal;Indeks Pembangunan Manusia;77,43
